time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,,RNN,LSTM,UNIXtime,,,TEST
8/1/2021 8:00,2602.44,2583.67,2586.59,6977.82,18101479.53,2594.56,direct,,,2509.458432,2643.078272,1627804800,,,2586.59
8/1/2021 9:00,2611.88,2592.57,2594.56,7495.84,19519675.79,2611.11,direct,,,2520.112817,2668.55442,1627808400,,,2594.56
8/1/2021 10:00,2611.12,2570.63,2611.11,14945.4,38753774.69,2585.09,direct,,,2640.204119,2557.79145,1627812000,,,2611.11
8/1/2021 11:00,2591.05,2564.27,2585.09,10065.1,25942096.98,2588.08,direct,,,2544.574375,2607.438838,1627815600,,,2585.09
8/1/2021 12:00,2607.46,2583.93,2588.08,11260.69,29262034.87,2591.12,direct,,,2544.376195,2546.086334,1627819200,,,2588.08
8/1/2021 13:00,2596.06,2578.24,2591.12,11495.37,29706659.9,2579.76,direct,,,2653.799112,2609.272454,1627822800,,,2591.12
8/1/2021 14:00,2592.02,2573.68,2579.76,8754.32,22612982.2,2581.45,direct,,,2520.063119,2529.201452,1627826400,,,2579.76
8/1/2021 15:00,2602.68,2578.23,2581.45,12432.79,32214965.33,2583.21,direct,,,2600.155858,2632.084333,1627830000,,,2581.45
8/1/2021 16:00,2585.33,2530.3,2583.21,29645.54,75794157.88,2569.72,direct,,,2483.326014,2521.100898,1627833600,,,2583.21
8/1/2021 17:00,2578.94,2548.82,2569.72,21513.38,55170079.89,2570.73,direct,,,2660.319941,2551.50094,1627837200,,,2569.72
8/1/2021 18:00,2606.91,2566.36,2570.73,32750.83,84960924.81,2599.7,direct,,,2628.478679,2573.391036,1627840800,,,2570.73
8/1/2021 19:00,2665.35,2572.23,2599.7,53909.23,141155794.2,2655.82,direct,,,2741.84201,2614.920372,1627844400,,,2599.7
8/1/2021 20:00,2698.09,2653.67,2655.82,35942.68,96159503.83,2671.03,direct,,,2777.256863,2685.720665,1627848000,,,2655.82
8/1/2021 21:00,2678.38,2645.79,2671.03,18191.37,48399304.86,2654.55,direct,,,2673.052214,2668.566024,1627851600,,,2671.03
8/1/2021 22:00,2664.96,2584.07,2654.55,44918.18,117343445.8,2601.96,direct,,,2655.30018,2569.903853,1627855200,,,2654.55
8/1/2021 23:00,2615.84,2531.4,2601.96,61704.37,158218056.5,2556.41,direct,,,2485.137289,2548.536257,1627858800,,,2601.96
8/2/2021 0:00,2579.2,2507.76,2556.41,27876.31,70947874.84,2519.56,direct,,,2446.215608,2557.252618,1627862400,,,2556.41
8/2/2021 1:00,2556.42,2510.57,2519.56,32239.76,81853599.56,2539.44,direct,,,2491.546162,2531.059848,1627866000,,,2519.56
8/2/2021 2:00,2573.5,2531.65,2539.44,17684.81,45117842.9,2568.54,direct,,,2517.991133,2590.578073,1627869600,,,2539.44
8/2/2021 3:00,2573.71,2555,2568.54,17869.23,45801301.17,2561.44,direct,,,2622.351043,2578.345504,1627873200,,,2568.54
8/2/2021 4:00,2569.16,2544.81,2561.44,36341.03,92786886.15,2550.63,direct,,,2648.93128,2566.341881,1627876800,,,2561.44
8/2/2021 5:00,2563.5,2548.97,2550.63,10196.11,26052610.74,2559.01,direct,,,2655.535857,2543.809481,1627880400,,,2550.63
8/2/2021 6:00,2626.52,2551.34,2559.01,23369.2,60302517.81,2619.14,direct,,,2531.084513,2615.106524,1627884000,,,2559.01
8/2/2021 7:00,2638.66,2604.57,2619.14,18006.45,47221806.58,2618.27,direct,,,2625.784435,2578.524661,1627887600,,,2619.14
8/2/2021 8:00,2623.46,2570.29,2618.27,33515.68,86555043.87,2572.91,direct,,,2526.494704,2578.004362,1627891200,,,2618.27
8/2/2021 9:00,2607.77,2560.24,2572.91,21035.26,54183587.63,2601.39,direct,,,2699.514431,2587.082355,1627894800,,,2572.91
8/2/2021 10:00,2603.14,2587.83,2601.39,7590.95,19707350.8,2599.07,direct,,,2540.460972,2545.893028,1627898400,,,2601.39
8/2/2021 11:00,2600.27,2572.63,2599.07,9258.03,23944710.16,2590.3,direct,,,2547.81908,2604.54665,1627902000,,,2599.07
8/2/2021 12:00,2602.01,2562.92,2590.3,16545.1,42712944.01,2587.79,direct,,,2653.571622,2547.36872,1627905600,,,2590.3
8/2/2021 13:00,2624.88,2578.72,2587.79,20274.39,52621928.12,2617.01,direct,,,2537.609917,2561.738749,1627909200,,,2587.79
8/2/2021 14:00,2636.28,2607.57,2617.01,19365.52,50752899.84,2627.33,direct,,,2542.230781,2578.198929,1627912800,,,2617.01
8/2/2021 15:00,2655.22,2622.62,2627.33,20647.25,54508554.69,2634.77,direct,,,2636.930511,2681.141952,1627916400,,,2627.33
8/2/2021 16:00,2666.13,2632.63,2634.77,20012.89,52998121.36,2648.46,direct,,,2591.994833,2619.32694,1627920000,,,2634.77
8/2/2021 17:00,2650.91,2623.46,2648.46,21427.66,56574055,2642.76,direct,,,2534.40684,2677.644432,1627923600,,,2648.46
8/2/2021 18:00,2657.69,2634.06,2642.76,16608.26,43970548.79,2651.53,direct,,,2704.799238,2629.363209,1627927200,,,2642.76
8/2/2021 19:00,2663.94,2594.83,2651.53,33023.82,86686128.56,2601.55,direct,,,2646.348691,2640.469188,1627930800,,,2651.53
8/2/2021 20:00,2623.78,2583.14,2601.55,31157.21,81065573.98,2598.28,direct,,,2611.063538,2549.120542,1627934400,,,2601.55
8/2/2021 21:00,2617.71,2587.85,2598.28,12470.74,32477037.36,2612.84,direct,,,2518.568733,2586.972884,1627938000,,,2598.28
8/2/2021 22:00,2636.65,2610.56,2612.84,14051.5,36854619.5,2626.46,direct,,,2641.53588,2599.302404,1627941600,,,2612.84
8/2/2021 23:00,2637.25,2604.25,2626.46,9458.92,24809947.36,2608.44,direct,,,2649.079495,2638.85441,1627945200,,,2626.46
8/3/2021 0:00,2632.24,2586.3,2608.44,16730.88,43641039.02,2610.44,direct,,,2663.95402,2565.070553,1627948800,,,2608.44
8/3/2021 1:00,2610.44,2547.41,2610.44,31774.19,81709158.05,2548.08,direct,,,2617.031045,2515.566499,1627952400,,,2610.44
8/3/2021 2:00,2570.97,2542.68,2548.08,21235.71,54290214.54,2555.57,direct,,,2479.08179,2514.527546,1627956000,,,2548.08
8/3/2021 3:00,2562.42,2515.26,2555.57,50162.14,127260743.8,2532.95,direct,,,2550.604662,2513.446285,1627959600,,,2555.57
8/3/2021 4:00,2544.56,2486.88,2532.95,23300.52,58616526.85,2493.2,direct,,,2435.956128,2505.267088,1627963200,,,2532.95
8/3/2021 5:00,2494.5,2455.7,2493.2,31815.62,78619070.3,2473.05,direct,,,2464.938396,2419.731042,1627966800,,,2493.2
8/3/2021 6:00,2487.39,2463.94,2473.05,20582.36,50976645.57,2463.94,direct,,,2487.174954,2463.397933,1627970400,,,2473.05
8/3/2021 7:00,2499.2,2447.32,2463.94,23452.49,58025663.27,2492.99,direct,,,2547.162673,2493.538458,1627974000,,,2463.94
8/3/2021 8:00,2495.37,2475.75,2492.99,23218.44,57790344.64,2484.81,direct,,,2451.190521,2520.889441,1627977600,,,2492.99
8/3/2021 9:00,2499.24,2470.69,2484.81,12414.2,30831773.01,2498.9,direct,,,2467.138981,2501.64879,1627981200,,,2484.81
8/3/2021 10:00,2525.26,2486.37,2498.9,15376.4,38523358.82,2513.36,direct,,,2442.257046,2533.81875,1627984800,,,2498.9
8/3/2021 11:00,2516.16,2485.82,2513.36,10288.54,25714034.33,2489.18,direct,,,2544.290445,2542.846721,1627988400,,,2513.36
8/3/2021 12:00,2516.77,2457.33,2489.18,25227.74,62692744.64,2502.04,direct,,,2464.084053,2462.958135,1627992000,,,2489.18
8/3/2021 13:00,2523.36,2500.36,2502.04,13117.99,32965359.88,2514.14,direct,,,2422.399031,2461.594474,1627995600,,,2502.04
8/3/2021 14:00,2540.93,2509.37,2514.14,17503.7,44185561.11,2513.9,direct,,,2485.040428,2568.099684,1627999200,,,2514.14
8/3/2021 15:00,2517.37,2475.64,2513.9,27601.48,68884938.06,2497.44,direct,,,2585.499734,2461.177171,1628002800,,,2513.9
8/3/2021 16:00,2502.86,2482.16,2497.44,18045.92,44976184.62,2500.06,direct,,,2516.460394,2545.711096,1628006400,,,2497.44
